district_name,district_slug,province
Taplejung,taplejung,Koshi
Panchthar,panchthar,Koshi
Ilam,ilam,Koshi
Jhapa,jhapa,Koshi
Morang,morang,Koshi
Sunsari,sunsari,Koshi
Dhankuta,dhankuta,Koshi
Terhathum,terhathum,Koshi
Sankhuwasabha,sankhuwasabha,Koshi
Bhojpur,bhojpur,Koshi
Solukhumbu,solukhumbu,Koshi
Okhaldhunga,okhaldhunga,Koshi
Khotang,khotang,Koshi
Udayapur,udayapur,Koshi
Saptari,saptari,Madhesh
Siraha,siraha,Madhesh
Dhanusha,dhanusha,Madhesh
Mahottari,mahottari,Madhesh
Sarlahi,sarlahi,Madhesh
Rautahat,rautahat,Madhesh
Bara,bara,Madhesh
Parsa,parsa,Madhesh
Dolakha,dolakha,Bagmati
Ramechhap,ramechhap,Bagmati
Sindhuli,sindhuli,Bagmati
Kavrepalanchok,kavrepalanchok,Bagmati
Sindhupalchok,sindhupalchok,Bagmati
Rasuwa,rasuwa,Bagmati
Nuwakot,nuwakot,Bagmati
Dhading,dhading,Bagmati
Chitwan,chitwan,Bagmati
Makwanpur,makwanpur,Bagmati
Bhaktapur,bhaktapur,Bagmati
Lalitpur,lalitpur,Bagmati
Kathmandu,kathmandu,Bagmati
Gorkha,gorkha,Gandaki
Lamjung,lamjung,Gandaki
Tanahu,tanahu,Gandaki
Syangja,syangja,Gandaki
Kaski,kaski,Gandaki
Manang,manang,Gandaki
Mustang,mustang,Gandaki
Myagdi,myagdi,Gandaki
Nawalpur,nawalpur,Gandaki
Parbat,parbat,Gandaki
Baglung,baglung,Gandaki
Rukum East,rukum-east,Lumbini
Rolpa,rolpa,Lumbini
Pyuthan,pyuthan,Lumbini
Gulmi,gulmi,Lumbini
Arghakhanchi,arghakhanchi,Lumbini
Palpa,palpa,Lumbini
Parasi,parasi,Lumbini
Rupandehi,rupandehi,Lumbini
Kapilvastu,kapilvastu,Lumbini
Dang,dang,Lumbini
Banke,banke,Lumbini
Bardiya,bardiya,Lumbini
Rukum West,rukum-west,Karnali
Salyan,salyan,Karnali
Dolpa,dolpa,Karnali
Jumla,jumla,Karnali
Mugu,mugu,Karnali
Humla,humla,Karnali
Kalikot,kalikot,Karnali
Jajarkot,jajarkot,Karnali
Dailekh,dailekh,Karnali
Surkhet,surkhet,Karnali
Bajura,bajura,Sudurpashchim
Bajhang,bajhang,Sudurpashchim
Doti,doti,Sudurpashchim
Achham,achham,Sudurpashchim
Darchula,darchula,Sudurpashchim
Baitadi,baitadi,Sudurpashchim
Dadeldhura,dadeldhura,Sudurpashchim
Kanchanpur,kanchanpur,Sudurpashchim
Kailali,kailali,Sudurpashchim
